ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Custom.AutomationSstatus;Custom.TipodePruebas;Custom.CategoriadePrueba;Custom.Precondiciones;Custom.ResultadoGeneral;Area Path;Iteration Path;Assigned To;State;Tags;Priority
;Test Case;Validar visualizacion de resultados estructurados y solo lectura en web;;;;Por Analizar;Integracion;Positiva;Usuario autenticado con acceso a la pantalla de resultados de una consulta exitosa.;La respuesta se muestra en formato estructurado y todos los datos son de solo lectura.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar un Numero de cuenta valido y un Numero de proceso valido con informacion asociada y seleccionar Consultar;Se visualiza la pantalla de resultados;;;;;;;;;;;
;;;5;Observar la informacion retornada;Se muestran Numero de cuenta, Numero de proceso, Fecha de solicitud, Estado del tramite, Fecha maxima de respuesta y Observacion en formato estructurado;;;;;;;;;;;
;;;6;Intentar editar los datos mostrados;Toda la informacion permanece en modo solo lectura sin posibilidad de modificacion;;;;;;;;;;;
;Test Case;Validar visualizacion condicional de Fecha respuesta y Paso a seguir para estado Aprobado en web;;;;Por Analizar;Integracion;Positiva;Usuario autenticado con acceso a la pantalla de resultados de una consulta exitosa con estado Aprobado.;Cuando el estado del tramite es Aprobado se muestran Fecha respuesta y Paso a seguir.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar un Numero de cuenta valido y un Numero de proceso valido con respuesta en estado Aprobado y seleccionar Consultar;Se visualiza la pantalla de resultados;;;;;;;;;;;
;;;5;Observar la informacion condicional;Se muestran los campos Fecha respuesta y Paso a seguir;;;;;;;;;;;
;;;6;Seleccionar el enlace u objeto interactivo Paso a seguir;El sistema redirige al formulario del siguiente paso asociado al nombre del paso;;;;;;;;;;;
;Test Case;Validar visualizacion condicional de Fecha respuesta y Paso a seguir para estado No aprobado en web;;;;Por Analizar;Integracion;Positiva;Usuario autenticado con acceso a la pantalla de resultados de una consulta exitosa con estado No aprobado.;Cuando el estado del tramite es No aprobado se muestran Fecha respuesta y Paso a seguir.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar un Numero de cuenta valido y un Numero de proceso valido con respuesta en estado No aprobado y seleccionar Consultar;Se visualiza la pantalla de resultados;;;;;;;;;;;
;;;5;Observar la informacion condicional;Se muestran los campos Fecha respuesta y Paso a seguir;;;;;;;;;;;
;;;6;Seleccionar el enlace u objeto interactivo Paso a seguir;El sistema redirige al formulario del siguiente paso asociado al nombre del paso;;;;;;;;;;;
;Test Case;Validar ocultamiento de Fecha respuesta y Paso a seguir para estados distintos de Aprobado y No aprobado en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla de resultados de una consulta exitosa con estado diferente a Aprobado y No aprobado.;Los campos condicionales no se muestran cuando el estado no cumple la condicion definida.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;2
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar un Numero de cuenta valido y un Numero de proceso valido con estado diferente a Aprobado y No aprobado y seleccionar Consultar;Se visualiza la pantalla de resultados;;;;;;;;;;;
;;;5;Observar la informacion condicional;No se muestran Fecha respuesta ni Paso a seguir;;;;;;;;;;;
;Test Case;Validar visualizacion y descarga de Anexo de entrada en web;;;;Por Analizar;Integracion;Positiva;Usuario autenticado con acceso a la pantalla de resultados de una consulta exitosa que retorna anexos de entrada.;Los anexos de entrada se muestran listados y permiten descarga.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar un Numero de cuenta valido y un Numero de proceso valido con anexos de entrada y seleccionar Consultar;Se visualiza la pantalla de resultados;;;;;;;;;;;
;;;5;Observar la seccion Anexo de entrada;Los archivos se muestran listados bajo la solicitud;;;;;;;;;;;
;;;6;Seleccionar un archivo de Anexo de entrada;El archivo inicia su descarga correctamente;;;;;;;;;;;
;Test Case;Validar ocultamiento de Anexo de entrada cuando el servicio no retorna archivos en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla de resultados de una consulta exitosa sin anexos de entrada.;La seccion Anexo de entrada se oculta cuando el servicio no retorna informacion en ese parametro.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;2
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar un Numero de cuenta valido y un Numero de proceso valido sin anexos de entrada y seleccionar Consultar;Se visualiza la pantalla de resultados;;;;;;;;;;;
;;;5;Observar la seccion de anexos;La seccion Anexo de entrada no se visualiza;;;;;;;;;;;
;Test Case;Validar visualizacion y descarga de Anexo de salida en web;;;;Por Analizar;Integracion;Positiva;Usuario autenticado con acceso a la pantalla de resultados de una consulta exitosa que retorna anexos de salida.;Los anexos de salida se muestran listados y permiten descarga.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;1
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar un Numero de cuenta valido y un Numero de proceso valido con anexos de salida y seleccionar Consultar;Se visualiza la pantalla de resultados;;;;;;;;;;;
;;;5;Observar la seccion Anexo de salida;Los archivos se muestran listados bajo la solicitud;;;;;;;;;;;
;;;6;Seleccionar un archivo de Anexo de salida;El archivo inicia su descarga correctamente;;;;;;;;;;;
;Test Case;Validar ocultamiento de Anexo de salida cuando el servicio no retorna archivos en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla de resultados de una consulta exitosa sin anexos de salida.;La seccion Anexo de salida se oculta cuando el servicio no retorna informacion en ese parametro.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;2
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar un Numero de cuenta valido y un Numero de proceso valido sin anexos de salida y seleccionar Consultar;Se visualiza la pantalla de resultados;;;;;;;;;;;
;;;5;Observar la seccion de anexos;La seccion Anexo de salida no se visualiza;;;;;;;;;;;
;Test Case;Validar mensaje No encontramos resultados cuando no existe informacion asociada en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla Consultar estado solicitud de vinculacion. El servicio retorna respuesta exitosa sin datos asociados.;El sistema muestra el mensaje No encontramos resultados y la accion Definir tipo de conexion.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;2
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar un Numero de cuenta valido y un Numero de proceso valido sin informacion asociada y seleccionar Consultar;El sistema procesa la solicitud;;;;;;;;;;;
;;;5;Observar el mensaje mostrado;Se visualiza el titulo No encontramos resultados y el cuerpo Revisa que el numero de solicitud y cuenta sean correctos.;;;;;;;;;;;
;;;6;Seleccionar la accion Definir tipo de conexion;El sistema redirige a la funcionalidad Definir el tipo de conexion que necesita el cliente de la HU ESD-258;;;;;;;;;;;
;Test Case;Validar mensaje No encontramos resultados cuando el servicio presenta error en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla Consultar estado solicitud de vinculacion. El servicio presenta error controlado.;El sistema muestra el mensaje No encontramos resultados y mantiene la opcion de nueva consulta.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;2
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar un Numero de cuenta valido y un Numero de proceso valido y seleccionar Consultar con el servicio en error;El sistema procesa la solicitud;;;;;;;;;;;
;;;5;Observar el mensaje mostrado;Se visualiza el titulo No encontramos resultados y el cuerpo Revisa que el numero de solicitud y cuenta sean correctos.;;;;;;;;;;;
;;;6;Validar disponibilidad de los campos y del boton Consultar;La busqueda permanece visible y funcional para una nueva consulta sin recargar la pagina;;;;;;;;;;;
;Test Case;Validar mensaje No encontramos resultados cuando el servicio presenta timeout en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla Consultar estado solicitud de vinculacion. El servicio presenta timeout.;El sistema muestra el mensaje No encontramos resultados y mantiene la opcion de nueva consulta.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;2
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar un Numero de cuenta valido y un Numero de proceso valido y seleccionar Consultar con el servicio en timeout;El sistema procesa la solicitud;;;;;;;;;;;
;;;5;Observar el mensaje mostrado;Se visualiza el titulo No encontramos resultados y el cuerpo Revisa que el numero de solicitud y cuenta sean correctos.;;;;;;;;;;;
;;;6;Validar disponibilidad de los campos y del boton Consultar;La busqueda permanece visible y funcional para una nueva consulta sin recargar la pagina;;;;;;;;;;;
;Test Case;Validar mensaje No encontramos resultados cuando el servicio esta indisponible en web;;;;Por Analizar;Integracion;Negativa;Usuario autenticado con acceso a la pantalla Consultar estado solicitud de vinculacion. El servicio esta indisponible.;El sistema muestra el mensaje No encontramos resultados y mantiene la opcion de nueva consulta.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;2
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Ingresar un Numero de cuenta valido y un Numero de proceso valido y seleccionar Consultar con el servicio indisponible;El sistema procesa la solicitud;;;;;;;;;;;
;;;5;Observar el mensaje mostrado;Se visualiza el titulo No encontramos resultados y el cuerpo Revisa que el numero de solicitud y cuenta sean correctos.;;;;;;;;;;;
;;;6;Validar disponibilidad de los campos y del boton Consultar;La busqueda permanece visible y funcional para una nueva consulta sin recargar la pagina;;;;;;;;;;;
;Test Case;Validar nueva consulta despues de resultados en web sin recargar la pagina;;;;Por Analizar;Integracion;Positiva;Usuario autenticado con acceso a la pantalla de resultados de una consulta previa.;El usuario puede realizar una nueva consulta sin recargar la pagina.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;2
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Realizar una consulta valida y esperar la respuesta;Se visualizan resultados o mensaje segun corresponda;;;;;;;;;;;
;;;5;Ingresar nuevos valores en Numero de cuenta y Numero de proceso;Los campos permanecen visibles y funcionales;;;;;;;;;;;
;;;6;Seleccionar nuevamente el boton Consultar;El sistema ejecuta una nueva consulta sin recargar la pagina;;;;;;;;;;;
;Test Case;Validar registro de auditoria ESD-187 para consulta de estado en web;;;;Por Analizar;Integracion;Positiva;Usuario autenticado con acceso a la funcionalidad y permisos para consultar Application Insights.;Cada accion realizada en la pantalla registra el evento de auditoria con la informacion requerida.;ESSA\Oficina virtual ESSA;ESSA\Sprint 16;XXXXX XXXXX;Design;;2
;;;1;Ingresar al aplicativo web ESSA;Se visualiza la pantalla Login;;;;;;;;;;;
;;;2;Ingresar credenciales validas y seleccionar Ingresar;El sistema inicia sesion correctamente;;;;;;;;;;;
;;;3;Navegar a Servicios, vinculacion de clientes y seleccionar Consultar estado solicitud de vinculacion;Se visualiza la pantalla de consulta;;;;;;;;;;;
;;;4;Realizar una accion en la pantalla de consulta, por ejemplo ejecutar una consulta valida;La accion se procesa correctamente;;;;;;;;;;;
;;;5;Ingresar al Microsoft Azure https://portal.azure.com/#home;Se visualiza el home de ESSA;;;;;;;;;;;
;;;6;En los recursos seleccionar el de tipo Application Insights;Se visualiza el menu y la informacion general;;;;;;;;;;;
;;;7;Del menu lateral izquierdo seleccionar la opcion Supervision y luego la opcion Registros;Se visualiza modal Centro de consultas;;;;;;;;;;;
;;;8;Cerrar el Centro de consultas y luego seleccionar el boton Seleccionar una tabla;Se despliegan las tablas del Application Insights;;;;;;;;;;;
;;;9;En la tabla de traces buscar el log de auditoria de la accion realizada y validar Fecha de Registro, Canal web, Dispositivo, Ip Publica, Usuario, cuenta, servicio, verbo HTTP, resultado HTTP, estado e identificador unico;Se confirma que el log esta copiando toda la informacion correspondiente al evento generado;;;;;;;;;;;
